key,canonical,en
aspiration,pursue,Aspiration
balance,perfection,Balance
being,human,Being
chase,pursue,Chase
close,end,Close
contract,reduce,Contract
creations,create,Creations
desire,want,Desire
disorder,chaos,Disorder
distance,outside,Distance
erode,deteriorate,Erode
finality,end,Finality
forward_time,future,Forward-Time
information,knowledge,Information
inside,not,Inside
live,breathe,Live
me,i,Me
message,data,Message
modify,change,Modify
now,present,Now
obstacle,barrier,Obstacle
open,accept,Open
other,you,Other
peace,harmony,Peace
progress,evolution,Progress
purity,pure,Purity
repair,recharge,Repair
repeat,again,Repeat
rescue,save,Rescue
resistance,resist,Resistance
seek,search,Seek
signal,data,Signal
spirit,soul,Spirit
stability,stay,Stability
structure,civilization,Structure
struggle,avoid,Struggle
success,evolution,Success
thought,mind,Though
us,we,Us
war,attack,War
your,you,Your
