canonical,code,en
abandon,1634486a8a,Abandon
accept,373878,Accept
adapt,587a8a,Adapt
advance,0949,Advance
after,121a2a,After
again,49676a898a,Again
all,010512233445,All
answer,67697a,Answer
attack,06092649,Attack
avoid,05061617,Avoid
barrier,0a277a,Barrier
before,4548598a9a,Before
begin,083738,Begin
body,696a9a,Body
breathe,16596a9a,Breathe
capture,1734487a8a,Capture
change,373a8a,Change
chaos,01051638456a8a,Chaos
chase,0a48899a,Chase
civilization,1659677889,Civilization
clear,0a3a,Clear
clear_all,01050a1223343a45,Clear All
complex,698a9a,Complex
conflict,2649677889,Conflict
consequence,27597889,Consequence
contemplate,011223386a899a,Contemplate
courage,497889,Courage
create,16486a8a,Create
creativity,383a58599a,Creativity
danger,093a9a,Danger
data,06386a8a,Data
defend,17373858,Defend
destination,1223,Destination
destiny,38676a789a,Destiny
destroy,27597a9a,Destroy
deteriorate,488a9a,Deteriorate
die,27487a8a,Die
difficult,16677a8a,Difficult
discover,122334,Discover
easy,386a8a,Easy
end,010a17373a,End
enlightened,0109122334696a9a,Enlightened
enlightenment,01091223696a9a,Enlightenment
equal,676989,Equal
escape,01166989,Escape
evolution,0a899a,Evolution
failure,0a676a,Failure
fear,176769,Fear
follow,061216,Follow
forget,48,Forget
future,162767,Future
gain,58,Gain
grow,4989,Grow
harm,0609276a7a9a,Harm
harmony,060937386a7a8a9a,Harmony
have,387a8a,Have
help,59788a9a,Help
hide,16176978,Hide
human,3738676989,Human Being
i,363969,I
idea,1216274548597a9a,Idea
ignore,27,Ignore
imperfect,686a898a9a,Imperfect
improve,166a7a,Improve
impure,3a898a9a,Impure
intelligence,16486a899a,Intelligence
interrupt,0a3a4548598a9a,Interrupt
journey,163445596a9a,Journey
knowledge,36396a9a,Knowledge
lead,05384548,Lead
legacy,0105162748596789,Legacy
less,6a9a,Less
liberate,0116496a9a,Liberate
lie,676a7a899a,Lie
lose,17,Lose
message,17497a9a,Message
mind,383a899a,Mind
more,7a8a,More
mystery,0609596989,Mystery
nature,2748676989,Nature
new,2767,New
not,6769,Not
nourish,343a488a,Nourish
old,5989,Old
open_all,010512233437384578,Open All
outside,0545,Outside
past,485989,Past
path,0a488a,Path
perfection,0a232734487a8a,Perfection
perspective,06092a4a6a9a,Perspective
portal,1216274548596978,Portal
potential,0a12277a,Potential
presence,3738676a78899a,Presence
present,677889,Present
pure,0a676a7a,Pure
pursue,060959,Pursue
question,066989,Question
react,27697a9a,React
rebel,1216586a8a,Rebel
recharge,050a599a,Recharge
reduce,2667,Reduce
reincarnate,26496a898a,Reincarnate
resist,090a373a69,Resist
resistance,090a383a69,Resistance
restraint,2327597a9a,Restraint
retreat,0626,Retreat
safety,264969,Safety
save,177a8a,Save
search,696a7889,Search
see,09,See
self,2334,Self
separate,2759676a898a,Separate
shaper_human,060927373848676989,Shaper Human
shapers,060927486789,Shapers
share,27344878,Share
simple,78,Simple
soul,373a676a,Soul
stay,274878,Stay
strong,67697889,Strong
technology,16276a7a898a9a,Technology
together,48696a8a9a,Together
truth,676a7a898a9a,Truth
unbounded,010517233445696a7889,Unbounded
use,177a,Use
victory,06093639,Victory
want,373848,Want
we,3669,We
weak,596769,Weak
worth,17587a8a,Worth
xm,67697a898a,XM
you,070878,You
legacy,,Legacy
nzeer,,N'Zeer
us,,Us
